doi,references_found,citations_found,api,retrieval_timestamp,references_OpenAlex,references_SemanticScholar,references_Overlap,references_OpenAlex_unique,references_SemanticScholar_unique,references_Total_unique,citations_OpenAlex,citations_SemanticScholar,citations_Overlap,citations_OpenAlex_unique,citations_SemanticScholar_unique,citations_Total_unique
10.1089/cyber.2013.0466,28,63,CompositeAPI,2025-07-02T19:17:05.781174+00:00,28,0,0,28,0,28,59,53,49,10,4,63
10.1108/itp-07-2023-0676,117,1,CompositeAPI,2025-07-02T19:17:09.997777+00:00,100,111,94,6,17,117,1,1,1,0,0,1
10.1016/s0747-5632(02)00016-x,14,145,CompositeAPI,2025-07-02T19:17:16.018900+00:00,14,0,0,14,0,14,134,128,117,17,11,145
10.1123/pes.2012-0128,0,14,CompositeAPI,2025-07-02T19:17:20.098998+00:00,0,0,0,0,0,0,14,13,13,1,0,14
10.1093/aje/kws590,21,149,CompositeAPI,2025-07-02T19:17:23.053572+00:00,21,0,0,21,0,21,149,0,0,149,0,149
10.1037/ppm0000203,85,590,CompositeAPI,2025-07-02T19:17:27.272345+00:00,85,0,0,85,0,85,558,445,413,145,32,590
10.1080/1369118x.2011.562223,25,45,CompositeAPI,2025-07-02T19:17:37.681674+00:00,25,0,0,25,0,25,44,30,29,15,1,45
10.1080/0144929x.2024.2406255,103,2,CompositeAPI,2025-07-02T19:17:41.711275+00:00,86,94,77,9,17,103,2,2,2,0,0,2
10.1007/s40429-022-00412-z,31,12,CompositeAPI,2025-07-02T19:17:47.680055+00:00,31,0,0,31,0,31,12,11,11,1,0,12
10.1007/s12144-020-01314-x,25,22,CompositeAPI,2025-07-02T19:17:51.641833+00:00,25,0,0,25,0,25,22,20,20,2,0,22
10.1111/j.1460-2466.2003.tb02590.x,22,80,CompositeAPI,2025-07-02T19:17:55.700304+00:00,22,0,0,22,0,22,79,71,70,9,1,80
10.1016/j.smrv.2024.101933,118,37,CompositeAPI,2025-07-02T19:17:59.920390+00:00,111,111,104,7,7,118,35,33,31,4,2,37
10.1177/009365000027002005,32,325,CompositeAPI,2025-07-02T19:18:07.080306+00:00,32,0,0,32,0,32,310,297,282,28,15,325
10.1002/casp.2138,46,12,CompositeAPI,2025-07-02T19:18:13.864036+00:00,46,0,0,46,0,46,12,11,11,1,0,12
10.12809/eaapl946,0,0,CompositeAPI,2025-07-02T19:18:17.918310+00:00,0,0,0,0,0,0,0,0,0,0,0,0
10.1177/107769900207900412,0,144,CompositeAPI,2025-07-02T19:18:18.856332+00:00,0,0,0,0,0,0,134,132,122,12,10,144
10.1111/j.1083-6101.2002.tb00143.x,36,56,CompositeAPI,2025-07-02T19:18:22.796875+00:00,36,0,0,36,0,36,47,50,41,6,9,56
10.1016/j.rpsp.2016.07.001,28,3,CompositeAPI,2025-07-02T19:18:26.974867+00:00,27,26,25,2,1,28,3,2,2,1,0,3
10.1177/0093650216686877,75,72,CompositeAPI,2025-07-02T19:18:31.018412+00:00,75,0,0,75,0,75,69,59,56,13,3,72
10.1093/ej/ueae091,43,2,CompositeAPI,2025-07-02T19:18:37.407019+00:00,43,0,0,43,0,43,2,2,2,0,0,2
10.1007/978-3-319-28640-2_4,31,54,CompositeAPI,2025-07-02T19:18:41.492069+00:00,31,0,0,31,0,31,47,35,28,19,7,54
10.1089/g4h.2017.0177,45,8,CompositeAPI,2025-07-02T19:18:45.801069+00:00,45,0,0,45,0,45,7,7,6,1,1,8
10.1080/17482798.2024.2443662,73,1,CompositeAPI,2025-07-02T19:18:49.910693+00:00,73,0,0,73,0,73,1,1,1,0,0,1
10.1207/s15506878jobem5004_5,44,134,CompositeAPI,2025-07-02T19:18:55.066546+00:00,44,0,0,44,0,44,128,110,104,24,6,134
10.2196/57198,24,0,CompositeAPI,2025-07-02T19:19:00.976963+00:00,23,24,23,0,1,24,0,0,0,0,0,0
10.2307/1162367,0,16,CompositeAPI,2025-07-02T19:19:02.640959+00:00,0,0,0,0,0,0,16,0,0,16,0,16
10.1111/j.1467-6451.2007.00316.x,10,139,CompositeAPI,2025-07-02T19:19:05.395617+00:00,10,0,0,10,0,10,125,110,96,29,14,139
10.1007/s10389-019-01043-x,51,61,CompositeAPI,2025-07-02T19:19:09.337127+00:00,51,0,0,51,0,51,57,47,43,14,4,61
10.1177/1461444809342558,17,61,CompositeAPI,2025-07-02T19:19:15.051003+00:00,17,0,0,17,0,17,60,39,38,22,1,61
10.3316/informit.414140549600484,0,0,CompositeAPI,2025-07-02T19:19:18.286769+00:00,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/s2352-4642(19)30424-9,31,41,CompositeAPI,2025-07-02T19:19:19.194543+00:00,31,0,0,31,0,31,40,29,28,12,1,41
10.1007/s11205-010-9653-0,31,18,CompositeAPI,2025-07-02T19:19:23.619527+00:00,24,24,17,7,7,31,16,12,10,6,2,18
10.1515/commun-2014-0028,40,14,CompositeAPI,2025-07-02T19:19:27.680822+00:00,40,0,0,40,0,40,14,0,0,14,0,14
10.1111/jsr.12510,23,88,CompositeAPI,2025-07-02T19:19:31.794256+00:00,23,0,0,23,0,23,84,74,70,14,4,88
10.4324/9780203855102,0,89,CompositeAPI,2025-07-02T19:19:35.188632+00:00,0,0,0,0,0,0,74,36,21,53,15,89
10.1177/0265407519836170,61,407,CompositeAPI,2025-07-02T19:19:38.140254+00:00,61,0,0,61,0,61,383,324,300,83,24,407
10.1093/restud/rdy028,65,122,CompositeAPI,2025-07-02T19:19:46.064650+00:00,65,0,0,65,0,65,122,0,0,122,0,122
10.1016/j.jaac.2019.11.023,7,1,CompositeAPI,2025-07-02T19:19:52.964062+00:00,7,0,0,7,0,7,1,1,1,0,0,1
10.1016/j.chb.2010.07.015,82,554,CompositeAPI,2025-07-02T19:19:55.858945+00:00,82,0,0,82,0,82,518,449,413,105,36,554
10.1016/j.actpsy.2021.103454,104,31,CompositeAPI,2025-07-02T19:20:06.597303+00:00,79,100,75,4,25,104,29,26,24,5,2,31
10.1016/j.tele.2024.102212,86,0,CompositeAPI,2025-07-02T19:20:12.723070+00:00,86,0,0,86,0,86,0,0,0,0,0,0
10.1177/009365093020001003,30,153,CompositeAPI,2025-07-02T19:20:17.535662+00:00,30,0,0,30,0,30,147,108,102,45,6,153
10.1177/0093650210384988,47,124,CompositeAPI,2025-07-02T19:20:22.607782+00:00,47,0,0,47,0,47,116,107,99,17,8,124
10.1016/j.adolescence.2010.11.009,31,21,CompositeAPI,2025-07-02T19:20:28.341332+00:00,31,0,0,31,0,31,20,18,17,3,1,21
2775789439,0,4,CompositeAPI,2025-07-02T19:20:32.552005+00:00,0,0,0,0,0,0,2,3,1,1,2,4
10.1177/089443939701500107,10,73,CompositeAPI,2025-07-02T19:20:35.381779+00:00,10,0,0,10,0,10,69,51,47,22,4,73
10.4324/9781315736495-6,1,4,CompositeAPI,2025-07-02T19:20:38.756318+00:00,1,0,0,1,0,1,3,4,3,0,1,4
10.1007/s10660-020-09421-4,39,2,CompositeAPI,2025-07-02T19:20:41.644503+00:00,39,0,0,39,0,39,2,0,0,2,0,2
10.3390/children9081186,40,0,CompositeAPI,2025-07-02T19:20:45.811068+00:00,37,38,35,2,3,40,0,0,0,0,0,0
10.1111/ijsw.12609,42,4,CompositeAPI,2025-07-02T19:20:48.342992+00:00,42,0,0,42,0,42,4,4,4,0,0,4
10.1016/j.infbeh.2020.101509,70,40,CompositeAPI,2025-07-02T19:20:52.324918+00:00,70,0,0,70,0,70,40,33,33,7,0,40
10.2501/jar-53-1-071-082,9,30,CompositeAPI,2025-07-02T19:20:57.597851+00:00,9,0,0,9,0,9,29,22,21,8,1,30
10.1111/j.1460-2466.2008.00401_2.x,0,0,CompositeAPI,2025-07-02T19:21:00.809563+00:00,0,0,0,0,0,0,0,0,0,0,0,0
10.1111/j.1468-2958.1987.tb00120.x,23,46,CompositeAPI,2025-07-02T19:21:02.011311+00:00,23,0,0,23,0,23,45,39,38,7,1,46
10.23750/abm.v95i5.15826,0,0,CompositeAPI,2025-07-02T19:21:06.398521+00:00,0,0,0,0,0,0,0,0,0,0,0,0
10.1177/2167702618778562,7,15,CompositeAPI,2025-07-02T19:21:07.430920+00:00,7,0,0,7,0,7,14,11,10,4,1,15
10.3389/fhumd.2021.585906,26,1,CompositeAPI,2025-07-02T19:21:10.813657+00:00,22,25,21,1,4,26,1,0,0,1,0,1
10.1016/j.tourman.2008.12.012,52,153,CompositeAPI,2025-07-02T19:21:13.869108+00:00,52,0,0,52,0,52,146,120,113,33,7,153
10.1080/10494820.2022.2160765,6,3,CompositeAPI,2025-07-02T19:21:19.997988+00:00,6,0,0,6,0,6,3,3,3,0,0,3
10.1177/2167479516688438,48,41,CompositeAPI,2025-07-02T19:21:22.962330+00:00,48,0,0,48,0,48,40,30,29,11,1,41
10.3389/fpsyg.2021.742468,75,7,CompositeAPI,2025-07-02T19:21:28.249493+00:00,65,74,64,1,10,75,7,6,6,1,0,7
10.1080/14616700802337768,3,75,CompositeAPI,2025-07-02T19:21:33.424445+00:00,3,0,0,3,0,3,65,66,56,9,10,75
10.1108/apjml-05-2020-0377,59,4,CompositeAPI,2025-07-02T19:21:36.629217+00:00,59,0,0,59,0,59,4,1,1,3,0,4
10.1371/journal.pone.0257877,49,16,CompositeAPI,2025-07-02T19:21:41.627865+00:00,46,46,43,3,3,49,15,14,13,2,1,16
10.1080/1369118x.2016.1164740,41,115,CompositeAPI,2025-07-02T19:21:46.004449+00:00,41,0,0,41,0,41,106,86,77,29,9,115
10.3102/00346543051002193,30,96,CompositeAPI,2025-07-02T19:21:52.202045+00:00,30,0,0,30,0,30,89,92,85,4,7,96
10.1016/j.econedurev.2017.01.001,30,36,CompositeAPI,2025-07-02T19:21:56.720657+00:00,30,0,0,30,0,30,27,25,16,11,9,36
